,precision,recall,f1-score,support
"German shepherd, German shepherd dog, German police dog, alsatian",0.8936170212765957,0.84,0.8659793814432989,50
"Doberman, Doberman pinscher",0.75,0.78,0.7647058823529411,50
miniature pinscher,0.7358490566037735,0.78,0.7572815533980584,50
Greater Swiss Mountain dog,0.5714285714285714,0.72,0.6371681415929202,50
Bernese mountain dog,0.8166666666666667,0.98,0.890909090909091,50
Appenzeller,0.47058823529411764,0.32,0.38095238095238104,50
EntleBucher,0.7450980392156863,0.76,0.7524752475247525,50
boxer,0.7954545454545454,0.7,0.7446808510638298,50
bull mastiff,0.7288135593220338,0.86,0.7889908256880733,50
Tibetan mastiff,0.9183673469387755,0.9,0.9090909090909091,50
French bulldog,0.8627450980392157,0.88,0.8712871287128714,50
Great Dane,0.8666666666666667,0.52,0.65,50
"Saint Bernard, St Bernard",1.0,0.96,0.9795918367346939,50
"Eskimo dog, husky",0.5098039215686274,0.52,0.5148514851485149,50
"malamute, malemute, Alaskan malamute",0.7321428571428571,0.82,0.7735849056603773,50
Siberian husky,0.6415094339622641,0.68,0.6601941747572816,50
"dalmatian, coach dog, carriage dog",0.8888888888888888,0.96,0.923076923076923,50
"affenpinscher, monkey pinscher, monkey dog",0.8979591836734694,0.88,0.888888888888889,50
basenji,0.9,0.9,0.9,50
"pug, pug-dog",0.9056603773584906,0.96,0.9320388349514563,50
Leonberg,0.9615384615384616,1.0,0.9803921568627451,50
"Newfoundland, Newfoundland dog",0.7857142857142857,0.88,0.830188679245283,50
Great Pyrenees,0.7916666666666666,0.76,0.7755102040816326,50
"Samoyed, Samoyede",0.8888888888888888,0.96,0.923076923076923,50
Pomeranian,0.9245283018867925,0.98,0.9514563106796116,50
"chow, chow chow",1.0,0.86,0.924731182795699,50
keeshond,0.9361702127659575,0.88,0.9072164948453608,50
Brabancon griffon,0.9591836734693877,0.94,0.9494949494949495,50
"Pembroke, Pembroke Welsh corgi",0.7419354838709677,0.92,0.8214285714285714,50
"Cardigan, Cardigan Welsh corgi",0.8222222222222222,0.74,0.7789473684210526,50
toy poodle,0.5660377358490566,0.6,0.5825242718446602,50
miniature poodle,0.5294117647058824,0.54,0.5346534653465347,50
standard poodle,0.78,0.78,0.78,50
Mexican hairless,0.9782608695652174,0.9,0.9375,50
"timber wolf, grey wolf, gray wolf, Canis lupus",0.7166666666666667,0.86,0.7818181818181817,50
"white wolf, Arctic wolf, Canis lupus tundrarum",0.8490566037735849,0.9,0.8737864077669903,50
"red wolf, maned wolf, Canis rufus, Canis niger",0.7692307692307693,0.6,0.6741573033707865,50
"coyote, prairie wolf, brush wolf, Canis latrans",0.8181818181818182,0.72,0.7659574468085107,50
"dingo, warrigal, warragal, Canis dingo",0.8333333333333334,0.8,0.816326530612245,50
"dhole, Cuon alpinus",0.8363636363636363,0.92,0.8761904761904761,50
"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.9615384615384616,1.0,0.9803921568627451,50
"hyena, hyaena",0.92,0.92,0.92,50
"red fox, Vulpes vulpes",0.675,0.54,0.6000000000000001,50
"kit fox, Vulpes macrotis",0.6666666666666666,0.68,0.6732673267326733,50
"Arctic fox, white fox, Alopex lagopus",0.9411764705882353,0.96,0.9504950495049505,50
"grey fox, gray fox, Urocyon cinereoargenteus",0.74,0.74,0.74,50
"tabby, tabby cat",0.5666666666666667,0.68,0.6181818181818183,50
tiger cat,0.45161290322580644,0.28,0.345679012345679,50
Persian cat,0.9230769230769231,0.96,0.9411764705882353,50
"Siamese cat, Siamese",0.9019607843137255,0.92,0.9108910891089109,50
Egyptian cat,0.627906976744186,0.54,0.5806451612903226,50
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",0.9038461538461539,0.94,0.9215686274509804,50
"lynx, catamount",0.7916666666666666,0.76,0.7755102040816326,50
"leopard, Panthera pardus",0.8333333333333334,0.9,0.8653846153846153,50
"snow leopard, ounce, Panthera uncia",0.9166666666666666,0.88,0.8979591836734694,50
"jaguar, panther, Panthera onca, Felis onca",0.8297872340425532,0.78,0.8041237113402062,50
"lion, king of beasts, Panthera leo",0.9056603773584906,0.96,0.9320388349514563,50
"tiger, Panthera tigris",0.7704918032786885,0.94,0.8468468468468469,50
"cheetah, chetah, Acinonyx jubatus",0.8846153846153846,0.92,0.9019607843137256,50
"brown bear, bruin, Ursus arctos",0.8363636363636363,0.92,0.8761904761904761,50
"American black bear, black bear, Ursus americanus, Euarctos americanus",0.7857142857142857,0.88,0.830188679245283,50
"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",0.9387755102040817,0.92,0.9292929292929293,50
"sloth bear, Melursus ursinus, Ursus ursinus",0.9512195121951219,0.78,0.8571428571428571,50
mongoose,0.8163265306122449,0.8,0.8080808080808082,50
