,precision,recall,f1-score,support
Rottweiler,0.5333333333333333,0.64,0.5818181818181818,50
"German shepherd, German shepherd dog, German police dog, alsatian",0.7222222222222222,0.52,0.6046511627906976,50
"Doberman, Doberman pinscher",0.3877551020408163,0.76,0.5135135135135135,50
miniature pinscher,0.5,0.38,0.4318181818181818,50
Greater Swiss Mountain dog,0.36363636363636365,0.64,0.463768115942029,50
Bernese mountain dog,0.90625,0.58,0.7073170731707317,50
Appenzeller,0.4444444444444444,0.16,0.23529411764705882,50
EntleBucher,0.5892857142857143,0.66,0.6226415094339622,50
boxer,0.4,0.68,0.5037037037037037,50
bull mastiff,0.5362318840579711,0.74,0.6218487394957984,50
Tibetan mastiff,0.926829268292683,0.76,0.8351648351648352,50
French bulldog,0.625,0.7,0.6603773584905661,50
Great Dane,0.20168067226890757,0.48,0.28402366863905326,50
"Saint Bernard, St Bernard",0.9230769230769231,0.72,0.8089887640449438,50
"Eskimo dog, husky",0.43859649122807015,0.5,0.46728971962616817,50
"malamute, malemute, Alaskan malamute",0.6666666666666666,0.28,0.3943661971830986,50
Siberian husky,0.35526315789473684,0.54,0.42857142857142855,50
"dalmatian, coach dog, carriage dog",0.2972972972972973,0.88,0.4444444444444444,50
"affenpinscher, monkey pinscher, monkey dog",0.9032258064516129,0.56,0.691358024691358,50
basenji,0.5797101449275363,0.8,0.6722689075630253,50
"pug, pug-dog",0.782608695652174,0.72,0.7499999999999999,50
Leonberg,0.7777777777777778,0.84,0.8076923076923077,50
"Newfoundland, Newfoundland dog",0.7837837837837838,0.58,0.6666666666666666,50
Great Pyrenees,0.6216216216216216,0.46,0.5287356321839081,50
"Samoyed, Samoyede",0.8135593220338984,0.96,0.8807339449541285,50
Pomeranian,0.9523809523809523,0.8,0.8695652173913043,50
"chow, chow chow",0.975609756097561,0.8,0.8791208791208791,50
keeshond,0.9333333333333333,0.56,0.7000000000000001,50
Brabancon griffon,0.9166666666666666,0.44,0.5945945945945945,50
"Pembroke, Pembroke Welsh corgi",0.8214285714285714,0.46,0.5897435897435898,50
"Cardigan, Cardigan Welsh corgi",0.4153846153846154,0.54,0.46956521739130436,50
toy poodle,0.5555555555555556,0.3,0.3896103896103896,50
miniature poodle,0.5116279069767442,0.44,0.4731182795698925,50
standard poodle,0.696969696969697,0.46,0.5542168674698795,50
Mexican hairless,0.8181818181818182,0.72,0.7659574468085107,50
"timber wolf, grey wolf, gray wolf, Canis lupus",0.6222222222222222,0.56,0.5894736842105264,50
"white wolf, Arctic wolf, Canis lupus tundrarum",0.7647058823529411,0.78,0.7722772277227723,50
"red wolf, maned wolf, Canis rufus, Canis niger",0.7142857142857143,0.5,0.588235294117647,50
"coyote, prairie wolf, brush wolf, Canis latrans",0.6285714285714286,0.44,0.5176470588235295,50
"dingo, warrigal, warragal, Canis dingo",0.5094339622641509,0.54,0.5242718446601942,50
"dhole, Cuon alpinus",0.8181818181818182,0.72,0.7659574468085107,50
"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.8297872340425532,0.78,0.8041237113402062,50
"hyena, hyaena",0.9166666666666666,0.66,0.7674418604651163,50
"red fox, Vulpes vulpes",0.6470588235294118,0.22,0.3283582089552239,50
"kit fox, Vulpes macrotis",0.5,0.52,0.5098039215686274,50
