,precision,recall,f1-score,support
"spotted salamander, Ambystoma maculatum",0.7719298245614035,0.88,0.822429906542056,50
"axolotl, mud puppy, Ambystoma mexicanum",0.8518518518518519,0.92,0.8846153846153846,50
"bullfrog, Rana catesbeiana",0.782608695652174,0.72,0.7499999999999999,50
"tree frog, tree-frog",0.7636363636363637,0.84,0.8000000000000002,50
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",0.5952380952380952,0.5,0.5434782608695652,50
"loggerhead, loggerhead turtle, Caretta caretta",0.7058823529411765,0.72,0.712871287128713,50
"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",0.7647058823529411,0.52,0.6190476190476191,50
mud turtle,0.4852941176470588,0.66,0.5593220338983051,50
terrapin,0.49019607843137253,0.5,0.495049504950495,50
"box turtle, box tortoise",0.6842105263157895,0.78,0.7289719626168225,50
banded gecko,0.813953488372093,0.7,0.7526881720430109,50
"common iguana, iguana, Iguana iguana",0.7692307692307693,0.8,0.7843137254901961,50
"American chameleon, anole, Anolis carolinensis",0.71875,0.46,0.5609756097560976,50
"whiptail, whiptail lizard",0.7843137254901961,0.8,0.792079207920792,50
agama,0.9166666666666666,0.66,0.7674418604651163,50
"frilled lizard, Chlamydosaurus kingi",0.813953488372093,0.7,0.7526881720430109,50
alligator lizard,0.5625,0.54,0.5510204081632654,50
"Gila monster, Heloderma suspectum",0.7708333333333334,0.74,0.7551020408163266,50
"green lizard, Lacerta viridis",0.45,0.54,0.49090909090909096,50
"African chameleon, Chamaeleo chamaeleon",0.926829268292683,0.76,0.8351648351648352,50
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",0.8113207547169812,0.86,0.8349514563106797,50
"African crocodile, Nile crocodile, Crocodylus niloticus",0.6875,0.66,0.673469387755102,50
"American alligator, Alligator mississipiensis",0.6923076923076923,0.72,0.7058823529411765,50
triceratops,0.8653846153846154,0.9,0.8823529411764707,50
"thunder snake, worm snake, Carphophis amoenus",0.673469387755102,0.66,0.6666666666666666,50
"ringneck snake, ring-necked snake, ring snake",0.803921568627451,0.82,0.8118811881188118,50
"hognose snake, puff adder, sand viper",0.6590909090909091,0.58,0.6170212765957446,50
"green snake, grass snake",0.8285714285714286,0.58,0.6823529411764706,50
"king snake, kingsnake",0.9,0.72,0.7999999999999999,50
"garter snake, grass snake",0.803921568627451,0.82,0.8118811881188118,50
water snake,0.5079365079365079,0.64,0.5663716814159292,50
vine snake,0.7083333333333334,0.68,0.6938775510204083,50
"night snake, Hypsiglena torquata",0.43243243243243246,0.32,0.36781609195402293,50
"boa constrictor, Constrictor constrictor",0.5846153846153846,0.76,0.6608695652173914,50
"rock python, rock snake, Python sebae",0.575,0.46,0.5111111111111112,50
"Indian cobra, Naja naja",0.82,0.82,0.82,50
green mamba,0.723404255319149,0.68,0.7010309278350516,50
sea snake,0.7368421052631579,0.56,0.6363636363636364,50
"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",0.5641025641025641,0.44,0.49438202247191015,50
"diamondback, diamondback rattlesnake, Crotalus adamanteus",0.5614035087719298,0.64,0.5981308411214953,50
"sidewinder, horned rattlesnake, Crotalus cerastes",0.5,0.44,0.46808510638297873,50
trilobite,0.7903225806451613,0.98,0.8749999999999999,50
"harvestman, daddy longlegs, Phalangium opilio",0.7636363636363637,0.84,0.8000000000000002,50
scorpion,0.75,0.9,0.8181818181818182,50
"black and gold garden spider, Argiope aurantia",0.7192982456140351,0.82,0.7663551401869159,50
"barn spider, Araneus cavaticus",0.5833333333333334,0.42,0.4883720930232558,50
"garden spider, Aranea diademata",0.5161290322580645,0.64,0.5714285714285714,50
"black widow, Latrodectus mactans",0.7678571428571429,0.86,0.8113207547169812,50
tarantula,0.7540983606557377,0.92,0.8288288288288288,50
"wolf spider, hunting spider",0.5074626865671642,0.68,0.5811965811965812,50
tick,0.8333333333333334,0.7,0.7608695652173915,50
centipede,0.8333333333333334,0.7,0.7608695652173915,50
black grouse,0.8333333333333334,0.9,0.8653846153846153,50
ptarmigan,0.9069767441860465,0.78,0.8387096774193548,50
"ruffed grouse, partridge, Bonasa umbellus",0.6666666666666666,0.88,0.7586206896551725,50
"prairie chicken, prairie grouse, prairie fowl",0.9166666666666666,0.88,0.8979591836734694,50
peacock,0.9545454545454546,0.84,0.8936170212765958,50
quail,0.9545454545454546,0.84,0.8936170212765958,50
partridge,0.74,0.74,0.74,50
"African grey, African gray, Psittacus erithacus",0.9583333333333334,0.92,0.9387755102040817,50
macaw,0.94,0.94,0.94,50
"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",0.9375,0.9,0.9183673469387755,50
lorikeet,0.8620689655172413,1.0,0.9259259259259259,50
coucal,0.9130434782608695,0.84,0.8749999999999999,50
bee eater,0.9423076923076923,0.98,0.9607843137254902,50
hornbill,0.9183673469387755,0.9,0.9090909090909091,50
hummingbird,0.9375,0.9,0.9183673469387755,50
jacamar,0.9,0.9,0.9,50
