,precision,recall,f1-score,support
"kit fox, Vulpes macrotis",0.3333333333333333,0.02,0.03773584905660377,50
"Arctic fox, white fox, Alopex lagopus",0.35,0.56,0.4307692307692308,50
"grey fox, gray fox, Urocyon cinereoargenteus",0.8,0.16,0.26666666666666666,50
"tabby, tabby cat",0.0,0.0,0.0,50
tiger cat,0.0,0.0,0.0,50
Persian cat,0.8,0.08,0.14545454545454545,50
"Siamese cat, Siamese",0.6428571428571429,0.54,0.5869565217391305,50
Egyptian cat,0.0,0.0,0.0,50
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",0.25,0.12,0.16216216216216217,50
"lynx, catamount",0.21153846153846154,0.22,0.2156862745098039,50
"leopard, Panthera pardus",0.7142857142857143,0.1,0.1754385964912281,50
"snow leopard, ounce, Panthera uncia",0.2857142857142857,0.08,0.125,50
"jaguar, panther, Panthera onca, Felis onca",0.0,0.0,0.0,50
"lion, king of beasts, Panthera leo",1.0,0.04,0.07692307692307693,50
"tiger, Panthera tigris",1.0,0.06,0.11320754716981131,50
"cheetah, chetah, Acinonyx jubatus",0.5,0.2,0.28571428571428575,50
"brown bear, bruin, Ursus arctos",0.6428571428571429,0.18,0.28124999999999994,50
"American black bear, black bear, Ursus americanus, Euarctos americanus",0.17006802721088435,0.5,0.25380710659898476,50
"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",0.7692307692307693,0.2,0.31746031746031744,50
"sloth bear, Melursus ursinus, Ursus ursinus",0.6086956521739131,0.28,0.3835616438356165,50
mongoose,0.0,0.0,0.0,50
"meerkat, mierkat",1.0,0.04,0.07692307692307693,50
tiger beetle,1.0,0.06,0.11320754716981131,50
"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",0.5909090909090909,0.26,0.36111111111111116,50
"ground beetle, carabid beetle",0.6,0.06,0.1090909090909091,50
"long-horned beetle, longicorn, longicorn beetle",0.1875,0.06,0.09090909090909091,50
"leaf beetle, chrysomelid",0.375,0.12,0.18181818181818182,50
dung beetle,0.0,0.0,0.0,50
rhinoceros beetle,0.0,0.0,0.0,50
weevil,0.5,0.04,0.07407407407407407,50
fly,0.6666666666666666,0.04,0.07547169811320754,50
bee,0.75,0.06,0.1111111111111111,50
"ant, emmet, pismire",0.25,0.02,0.037037037037037035,50
"grasshopper, hopper",0.75,0.12,0.20689655172413793,50
cricket,0.5,0.02,0.038461538461538464,50
"walking stick, walkingstick, stick insect",0.0,0.0,0.0,50
"cockroach, roach",0.0,0.0,0.0,50
"mantis, mantid",0.5,0.02,0.038461538461538464,50
"cicada, cicala",0.0,0.0,0.0,50
leafhopper,0.8666666666666667,0.52,0.65,50
"lacewing, lacewing fly",0.29310344827586204,0.34,0.31481481481481477,50
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",0.23809523809523808,0.1,0.1408450704225352,50
damselfly,0.30303030303030304,0.6,0.40268456375838924,50
admiral,0.36363636363636365,0.08,0.13114754098360654,50
"ringlet, ringlet butterfly",0.7272727272727273,0.32,0.4444444444444444,50
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",1.0,0.1,0.18181818181818182,50
cabbage butterfly,0.85,0.34,0.4857142857142858,50
"sulphur butterfly, sulfur butterfly",0.9047619047619048,0.38,0.5352112676056339,50
"lycaenid, lycaenid butterfly",0.7142857142857143,0.4,0.5128205128205129,50
"starfish, sea star",0.46153846153846156,0.36,0.4044943820224719,50
sea urchin,0.46153846153846156,0.12,0.19047619047619047,50
"sea cucumber, holothurian",0.18181818181818182,0.04,0.06557377049180327,50
"wood rabbit, cottontail, cottontail rabbit",0.8888888888888888,0.16,0.27118644067796616,50
hare,0.56,0.28,0.37333333333333335,50
"Angora, Angora rabbit",0.15483870967741936,0.48,0.23414634146341465,50
hamster,0.8571428571428571,0.24,0.375,50
"porcupine, hedgehog",0.25,0.02,0.037037037037037035,50
"fox squirrel, eastern fox squirrel, Sciurus niger",0.42857142857142855,0.12,0.1875,50
marmot,1.0,0.02,0.0392156862745098,50
beaver,0.3076923076923077,0.16,0.2105263157894737,50
"guinea pig, Cavia cobaya",0.7142857142857143,0.1,0.1754385964912281,50
sorrel,1.0,0.28,0.43750000000000006,50
zebra,0.0,0.0,0.0,50
"hog, pig, grunter, squealer, Sus scrofa",0.16129032258064516,0.1,0.12345679012345678,50
"wild boar, boar, Sus scrofa",0.2,0.06,0.09230769230769231,50
warthog,0.0,0.0,0.0,50
"hippopotamus, hippo, river horse, Hippopotamus amphibius",0.75,0.06,0.1111111111111111,50
ox,0.0,0.0,0.0,50
"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",0.0,0.0,0.0,50
bison,0.4444444444444444,0.24,0.3116883116883117,50
"ram, tup",0.0,0.0,0.0,50
"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",0.0,0.0,0.0,50
"ibex, Capra ibex",0.0,0.0,0.0,50
hartebeest,1.0,0.06,0.11320754716981131,50
"impala, Aepyceros melampus",0.2,0.02,0.03636363636363636,50
gazelle,0.5,0.02,0.038461538461538464,50
"Arabian camel, dromedary, Camelus dromedarius",0.5,0.04,0.07407407407407407,50
llama,0.5714285714285714,0.08,0.14035087719298248,50
weasel,0.25925925925925924,0.14,0.18181818181818182,50
mink,0.07017543859649122,0.08,0.07476635514018691,50
"polecat, fitch, foulmart, foumart, Mustela putorius",0.3584905660377358,0.38,0.3689320388349514,50
"black-footed ferret, ferret, Mustela nigripes",0.2857142857142857,0.08,0.125,50
otter,1.0,0.02,0.0392156862745098,50
"skunk, polecat, wood pussy",0.2857142857142857,0.2,0.23529411764705882,50
badger,0.7222222222222222,0.26,0.3823529411764706,50
armadillo,0.3870967741935484,0.24,0.2962962962962963,50
"three-toed sloth, ai, Bradypus tridactylus",0.2857142857142857,0.08,0.125,50
"orangutan, orang, orangutang, Pongo pygmaeus",0.9375,0.3,0.45454545454545453,50
"gorilla, Gorilla gorilla",0.5217391304347826,0.24,0.3287671232876712,50
"chimpanzee, chimp, Pan troglodytes",0.2857142857142857,0.04,0.07017543859649124,50
"gibbon, Hylobates lar",0.6,0.12,0.19999999999999998,50
"siamang, Hylobates syndactylus, Symphalangus syndactylus",0.3333333333333333,0.22,0.26506024096385544,50
"guenon, guenon monkey",0.6666666666666666,0.04,0.07547169811320754,50
"patas, hussar monkey, Erythrocebus patas",0.8,0.08,0.14545454545454545,50
baboon,0.6666666666666666,0.16,0.25806451612903225,50
